pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P1383,CeeDee Lamb,WR,DAL,27,260.7,200.9,14.35,14,66,106.6,1,1,1
P1258,Josh Allen,QB,BUF,30,346.5,364.6,21.45,17,5,105.0,2,1,1
P1432,Amon-Ra St. Brown,WR,DET,27,253.9,324.0,19.06,17,11,99.8,3,1,2
P1538,Puka Nacua,WR,LAR,25,248.6,375.0,23.44,16,2,94.5,4,1,3
P1607,Chase Brown,RB,CIN,26,237.8,282.6,16.62,17,24,93.7,5,1,1
P1655,Harold Fannin,TE,CLE,22,225.2,186.4,11.65,16,76,93.3,6,1,1
P1559,Jaxon Smith-Njigba,WR,SEA,24,245.2,359.9,21.17,17,7,91.1,7,1,4
P1543,Jahmyr Gibbs,RB,DET,24,233.8,366.9,21.58,17,4,89.7,8,1,2
P1551,De'Von Achane,RB,MIA,25,232.8,322.8,20.18,16,12,88.7,9,1,3
P1534,Trey McBride,TE,ARI,27,220.3,315.9,18.58,17,14,88.4,10,1,2
P1381,Jonathan Taylor,RB,IND,27,231.4,362.3,21.31,17,6,87.3,11,1,4
P1541,Kyren Williams,RB,LAR,26,219.4,263.3,15.49,17,28,75.3,12,1,5
P1489,Drake London,WR,ATL,25,226.0,201.9,16.82,12,63,71.9,13,2,5
P1490,George Pickens,WR,DAL,25,221.4,291.9,17.17,17,21,67.3,14,2,6
P1429,Ja'Marr Chase,WR,CIN,26,219.8,313.6,19.6,16,16,65.7,15,2,7
P1608,Caleb Williams,QB,CHI,25,303.4,318.7,18.75,17,13,61.9,16,2,2
P1488,Chris Olave,WR,NOR,26,207.0,268.0,16.75,16,27,52.9,17,2,8
P1614,Drake Maye,QB,NWE,24,293.2,352.0,20.71,17,8,51.7,18,2,3
P1326,Josh Jacobs,RB,GNB,28,195.6,237.1,15.81,15,34,51.5,19,2,6
P1471,Nico Collins,WR,HOU,27,203.9,226.2,15.08,15,42,49.8,20,2,9
P1647,Ashton Jeanty,RB,LVR,23,193.4,245.1,14.42,17,30,49.3,21,2,7
P1501,Breece Hall,RB,NYJ,25,189.8,207.7,12.98,16,59,45.7,22,2,8
P1603,Bo Nix,QB,DEN,26,286.5,304.8,17.93,17,17,45.0,23,2,4
P1657,Colston Loveland,TE,CHI,22,175.1,165.1,10.32,16,100,43.2,24,2,3
P1549,Zay Flowers,WR,BAL,26,197.0,243.3,14.31,17,31,42.9,25,2,10
P1193,Jared Goff,QB,DET,32,283.3,297.1,17.48,17,20,41.8,26,2,5
P1323,A.J. Brown,WR,PHI,29,194.0,220.3,14.69,15,46,39.9,27,2,11
P1542,Bijan Robinson,RB,ATL,24,181.5,370.8,21.81,17,3,37.4,28,2,9
P1606,Brock Bowers,TE,LVR,24,169.0,176.2,14.68,12,90,37.1,29,2,4
P1653,Tyler Warren,TE,IND,24,168.3,188.5,11.09,17,71,36.4,30,2,5
