draft_year,rnd,pick,team,player,pos,age,college,pfr_id
2026,1,1,LVR,Fernando Mendoza,QB,22,Indiana,MendFe00
2026,1,3,ARI,Jeremiyah Love,RB,21,Notre Dame,LoveJe00
2026,1,4,TEN,Carnell Tate,WR,21,Ohio St.,TateCa00
2026,1,8,NOR,Jordyn Tyson,WR,22,Arizona St.,TysoJo00
2026,1,13,LAR,Ty Simpson,QB,23,Alabama,SimpTy00
2026,1,16,NYJ,Kenyon Sadiq,TE,21,Oregon,SadiKe00
2026,1,20,PHI,Makai Lemon,WR,22,USC,LemoMa00
2026,1,24,CLE,KC Concepcion,WR,21,Texas A&M,ConcKC00
2026,1,30,NYJ,Omar Cooper Jr.,WR,22,Indiana,CoopOm00
2026,1,32,SEA,Jadarian Price,RB,22,Notre Dame,PricJa02
2026,2,33,SFO,De'Zhaun Stribling,WR,23,Mississippi,StriDe01
2026,2,39,CLE,Denzel Boston,WR,22,Washington,BostDe00
2026,2,47,PIT,Germie Bernard,WR,22,Alabama,BernGe00
2026,2,54,PHI,Eli Stowers,TE,23,Vanderbilt,StowEl00
2026,2,56,JAX,Nate Boerkircher,TE,25,Texas A&M,BoerNa00
2026,2,59,HOU,Marlin Klein,TE,23,Michigan,KleiMa00
2026,2,61,LAR,Max Klare,TE,23,Ohio St.,KlarMa00
2026,3,65,ARI,Carson Beck,QB,24,Miami (FL),BeckCa01
2026,3,69,CHI,Sam Roush,TE,23,Stanford,RousSa00
2026,3,71,WAS,Antonio Williams,WR,22,Clemson,WillAn04
2026,3,73,NOR,Oscar Delp,TE,23,Georgia,DelpOs01
2026,3,74,NYG,Malachi Fields,WR,23,Notre Dame,FielMa00
2026,3,75,MIA,Caleb Douglas,WR,22,Texas Tech,DougCa00
2026,3,76,PIT,Drew Allar,QB,22,Penn St.,AllaDr00
2026,3,79,ATL,Zachariah Branch,WR,22,Georgia,BranZa00
2026,3,80,BAL,Ja'Kobi Lane,WR,22,USC,LaneJa01
2026,3,83,CAR,Chris Brazzell II,WR,22,Tennessee,BrazCh01
2026,3,84,TAM,Ted Hurst,WR,22,Georgia St.,HursTe00
2026,3,87,MIA,Will Kacmarek,TE,23,Ohio St.,KacmWi00
2026,3,89,CHI,Zavion Thomas,WR,21,LSU,ThomZa05
2026,3,90,SFO,Kaelon Black,RB,24,Indiana,BlacKa00
