draft_year,draft_round,draft_pick,draft_team,draft_pos,college,draft_age,pfr_id,pid
1985,1,10,NYJ,WR,Wisconsin,22.0,ToonAl00,
1985,1,13,CIN,WR,Miami (FL),22.0,BrowEd00,
1985,1,15,KAN,TE,North Carolina,22.0,HortEt00,
1985,1,16,SFO,WR,Miss. Valley St.,22.0,RiceJe00,P0058
1985,1,19,NYG,RB,Kentucky,22.0,AdamGe00,
1985,1,23,RAI,WR,Florida St.,22.0,HestJe00,
1985,1,26,DEN,RB,Oklahoma,22.0,SeweSt00,
1985,1,27,MIA,RB,Florida,23.0,HampLo00,
1985,2,31,DEN,WR,Arizona,22.0,JohnVa00,
1985,2,35,CLE,RB,Florida St.,22.0,AlleGr21,
1985,2,37,PHI,QB,UNLV,22.0,CunnRa00,P0189
1985,2,41,KAN,TE,Iowa,23.0,HayeJo00,
1985,2,42,BUF,WR,Jackson St.,23.0,BurkCh00,
1985,2,46,NYG,WR,North Dakota St.,23.0,RobiSt00,
1985,2,50,RAM,WR,Vanderbilt,22.0,ScotCh22,
1985,2,53,SEA,RB,Iowa,23.0,GillOw20,
1985,3,57,BUF,QB,Maryland,23.0,ReicFr00,
1985,3,75,SFO,RB,Alabama,22.0,MoorRi00,
1985,3,78,CHI,WR,TCU,22.0,ManeJa20,
1985,3,79,RAI,WR,Mississippi,23.0,MoffTi00,
1985,3,81,SEA,WR,Washington,23.0,GreeDa23,
1985,4,85,MIN,WR,Oklahoma,23.0,RhymBu20,
1985,4,86,BUF,WR,Kutztown (PA),21.0,ReedAn00,
1985,4,89,ATL,WR,Stanford,22.0,HarrEm00,
1985,4,98,GNB,WR,Colorado Mesa,22.0,StanWa00,
1985,4,100,NYG,TE,Notre Dame,22.0,BavaMa00,
1985,4,103,DAL,RB,Georgia Tech,21.0,LaveRo20,
1985,4,104,STL,RB,West Virginia,22.0,WolfRo00,
1985,4,110,DEN,TE,Colorado St.,22.0,McGrKe20,
1985,5,114,DAL,RB,Georgia,23.0,WalkHe00,
1985,5,116,STL,TE,Clemson,22.0,DunnKD00,
1985,5,118,DET,RB,North Carolina St.,22.0,McInJo20,
1985,5,126,KAN,RB,Purdue,22.0,KingBr00,
1985,5,130,BUF,WR,Texas A&M,23.0,TealJi00,
1985,5,135,RAI,RB,Delaware,24.0,ReedDa20,
1985,6,142,MIN,QB,UCLA,23.0,BonoSt00,
1985,6,143,RAI,QB,Oklahoma St.,23.0,HilgRu00,
1985,6,145,MIA,WR,Missouri,23.0,ShorGe20,
1985,6,154,CIN,TE,Murray St.,23.0,LestKe20,
1985,6,155,GNB,TE,Texas A&M,24.0,LewiMa21,
1985,6,158,STL,TE,Wyoming,22.0,NovaJa00,
1985,6,161,RAM,WR,UCLA,23.0,YounMi00,
1985,6,162,RAM,TE,Cal Poly-San Luis Obispo,23.0,JohnDa01,
1985,6,163,WAS,TE,Lamar,22.0,LeexDa20,
1985,6,167,MIA,RB,Louisville,22.0,DaveRo00,
1985,7,170,HOU,WR,Hawaii,23.0,AkiuMi20,
1985,7,173,IND,WR,Mississippi,22.0,HarbJa20,
1985,7,175,CLE,WR,Elizabeth City St.,22.0,LangRe00,
1985,7,178,DAL,WR,Alabama St.,23.0,PoweKa20,
1985,7,179,NOR,WR,LSU,23.0,MartEr00,
1985,7,182,GNB,RB,Wisconsin,22.0,ElleGa00,
1985,7,185,WAS,RB,Nicholls St.,22.0,VitaLi20,
1985,7,188,RAI,WR,Washington,23.0,PattMa00,
1985,7,189,RAM,RB,Oklahoma,22.0,BradDa21,
1985,8,197,BUF,FB,Washington,22.0,RobiJa21,
1985,8,200,IND,WR,East Carolina,23.0,NichRi20,
1985,8,202,DET,RB,Texas-Arlington,22.0,CaldSc20,
1985,8,203,CLE,WR,Liberty,23.0,BankFr00,
1985,8,204,TAM,WR,Arizona,22.0,FreePh00,
1985,8,207,SDG,RB,Central Michigan,23.0,AdamCu00,
1985,8,210,KAN,WR,South Carolina,22.0,HillIr00,
1985,8,213,NYG,RB,Colorado,22.0,RousLe00,
1985,8,216,DAL,WR,Bethune-Cookman,21.0,GonzLe20,
1985,8,223,MIA,TE,TCU,23.0,SharDa20,
1985,9,226,HOU,WR,Northwestern,23.0,TaskSt00,
1985,9,227,MIN,RB,Syracuse,22.0,CoviJa20,
1985,9,229,IND,TE,USC,22.0,BoyeMa00,
1985,9,235,NYJ,TE,San Diego St.,23.0,WateMi20,
1985,9,244,STL,RB,Georgia,23.0,WillSc00,
1985,9,250,CHI,RB,Texas A&M,23.0,SandTh00,
1985,10,258,DET,WR,Auburn,22.0,BeauCl20,
1985,10,263,WAS,TE,Texas,23.0,OrrxTe00,
1985,10,267,KAN,RB,Nebraska,23.0,SmitJe00,
1985,10,270,DAL,TE,Virginia Tech,23.0,JoneJo22,
1985,11,281,HOU,WR,West Virginia,22.0,DrewWi00,
1985,11,285,RAM,QB,Boston Col.,22.0,FlutDo00,P0128
1985,11,287,CLE,TE,Southern Connecticut St.,21.0,TuckTr20,
1985,11,289,PHI,RB,Tennessee St.,24.0,HuntHe00,
1985,11,294,GNB,QB,Trinity (CT),23.0,ShieJo20,
1985,11,303,RAI,RB,Boston Col.,22.0,StraSt00,
1985,12,313,ATL,TE,Georgia Tech,23.0,WhisKe00,
1985,12,315,CLE,WR,Nebraska,22.0,SwanSh20,
1985,12,321,KAN,TE,Colorado St.,22.0,LexBHa00,
1985,12,328,NWE,RB,Penn St.,22.0,MumfTo20,
1986,1,1,TAM,RB,Auburn,23.0,JackBo00,
1986,1,3,HOU,QB,Purdue,23.0,EverJi00,
1986,1,10,PHI,RB,Ohio St.,22.0,ByarKe00,
1986,1,12,DET,QB,Iowa,23.0,LongCh00,
1986,1,15,SEA,FB,Florida,21.0,WillJo00,
1986,1,16,BUF,RB,Iowa,22.0,HarmRo00,
1986,1,18,DAL,WR,UCLA,23.0,SherMi00,
1986,1,21,CIN,WR,Tennessee,22.0,McGeTi00,
1986,1,26,NWE,RB,SMU,22.0,DupaRe00,
1986,1,27,CHI,RB,Florida,22.0,AndeNe00,
1986,2,29,DET,RB,LSU,23.0,JameGa00,
1986,2,31,NOR,RB,LSU,22.0,HillDa00,
1986,2,33,DAL,RB,Arizona St.,22.0,ClacDa00,
1986,2,34,HOU,WR,Louisville,22.0,GiviEr00,
1986,2,37,PHI,RB,Texas A&M,23.0,ToneAn00,
1986,2,41,GNB,RB,TCU,24.0,DaviKe00,
1986,2,43,CLE,WR,San Diego St.,21.0,SlauWe00,
1986,2,45,WAS,WR,Hawaii,23.0,MurrWa00,
1986,2,47,IND,QB,Illinois,23.0,TrudJa00,
1986,3,56,SFO,RB,Nebraska,23.0,RathTo00,
1986,3,57,NOR,RB,Washington St.,23.0,MayeRu00,
1986,3,61,HOU,RB,Notre Dame,22.0,PinkAl00,
1986,3,62,NOR,RB,Virginia,23.0,WordBa00,
1986,3,67,PIT,QB,La-Monroe,24.0,BrisBu00,
1986,3,71,RAM,QB,Washington,22.0,MillHu00,
1986,3,76,SFO,WR,Delaware St.,24.0,TaylJo00,
1986,3,82,CHI,WR,Illinois,23.0,WillDa00,
1986,4,86,IND,WR,Boston Univ.,22.0,BrooBi00,
1986,4,88,NOR,WR,Liberty,22.0,EdwaKe00,
1986,4,90,KAN,WR,Furman,22.0,FoxxCh20,
1986,4,91,CIN,TE,Michigan,23.0,KattEr00,
1986,4,99,CIN,QB,Long Beach St.,23.0,GaynDo20,
1986,4,103,RAI,RB,Occidental,22.0,MuelVa00,
1986,4,107,MIA,WR,Cal State-Fullerton,22.0,PruiJa00,
1986,4,108,RAI,RB,Navy,22.0,McCaNa00,
1986,5,111,BUF,RB,Miss. Valley St.,23.0,ByruCa00,
1986,5,114,HOU,TE,Auburn,21.0,ParkJe23,
1986,5,119,DET,RB,Nicholls St.,23.0,SmitOs20,
1986,5,120,MIN,WR,Florida St.,22.0,JoneHa00,
1986,5,126,SEA,RB,Arkansas,21.0,EdmoBo00,
1986,5,130,NYG,WR,San Diego St.,23.0,WarrVi20,
1986,5,135,PIT,TE,Santa Clara,23.0,JoneBr00,
1986,5,138,CHI,WR,Oregon,23.0,BarnLe20,
1986,6,139,NYG,WR,Colorado,23.0,BrowRo23,
1986,6,140,DAL,TE,Alabama,22.0,ChanTh00,
1986,6,142,NOR,WR,Youngstown St.,23.0,ThomBo20,
1986,6,145,HOU,RB,Purdue,22.0,WallRa00,
1986,6,146,WAS,QB,Washington St.,23.0,RypiMa00,
1986,6,150,DAL,QB,Maryland,23.0,GelbSt00,
1986,6,151,DEN,TE,Salem,23.0,MoblOr00,
1986,6,154,ATL,WR,S.F. Austin,22.0,DixoFl00,
1986,6,155,SDG,WR,Northern Illinois,22.0,PardCu20,
1986,6,157,NYG,WR,Utah St.,21.0,MillSo00,
1986,6,159,ATL,WR,Missouri State,21.0,WillKe01,
1986,6,161,DEN,WR,Purdue,23.0,JackMa00,
1986,6,166,CHI,RB,Tennessee,23.0,PoweJe21,
1986,7,169,PHI,WR,Cal State-Fullerton,22.0,RediCo20,
1986,7,170,STL,WR,Tennessee,23.0,SwanEr20,
1986,7,173,NOR,RB,Holy Cross,23.0,FeneGi00,
1986,7,174,CLE,QB,Kansas,22.0,NorsMi20,
1986,7,175,PIT,RB,Purdue,21.0,CartRo00,
1986,7,177,CIN,RB,Houston,23.0,FranPa21,
1986,7,179,MIN,TE,Houston,22.0,HiltCa00,
1986,7,180,BUF,TE,Michigan St.,22.0,RollBu00,
1986,7,184,NYG,RB,Boise St.,22.0,FranJo21,
1986,7,186,WAS,RB,Maryland,24.0,BadaRi00,
1986,8,207,PIT,TE,Illinois,22.0,BosoCa00,
1986,8,212,DAL,RB,Wake Forest,22.0,ClemTo21,
1986,8,220,NWE,TE,Stanford,22.0,BatyGr00,
1986,9,222,BUF,WR,Oregon St.,22.0,BynuRe20,
1986,9,240,SFO,RB,Oregon,23.0,CherTo20,
1986,9,244,DEN,WR,Miss. Valley St.,23.0,ThomJo20,
1986,9,245,NYJ,RB,Hawaii,22.0,FaaoNu00,
1986,10,252,ATL,RB,East Carolina,22.0,BakeTo20,
1986,10,254,STL,RB,BYU,24.0,SikaVa00,
1986,10,255,STL,WR,East Texas A&M,23.0,SmitWe21,
1986,10,260,PIT,TE,Missouri,23.0,SeitWa20,
1986,10,261,PHI,RB,Washington St.,24.0,TautJu00,
1986,10,265,CLE,TE,Miami (FL),22.0,SmitWi22,
1986,11,291,SEA,QB,UCLA,22.0,NorrDa20,
1986,11,293,SDG,RB,Slippery Rock,22.0,SandCh21,
1986,11,303,MIA,TE,North Carolina,22.0,FranAr20,
1986,11,305,CHI,WR,BYU,23.0,KozlGl00,
1986,12,308,ATL,WR,Purdue,21.0,GrifSt22,
1986,12,310,HOU,RB,West Virginia Tech,22.0,BankCh00,
1986,12,312,STL,QB,Mississippi,23.0,AustKe20,
1986,12,313,BUF,QB,Bowling Green,22.0,McClBr20,
1986,12,316,CIN,QB,Indiana,23.0,BradSt20,
1986,12,323,WAS,WR,Idaho,22.0,YarbEr20,
1986,12,324,TAM,RB,Arizona St.,22.0,CrawMi20,
1986,12,325,PHI,RB,Indiana,22.0,HowaBo00,
1986,12,327,RAM,RB,Southern Miss,22.0,DuprMa00,
1986,12,329,MIA,RB,North Carolina St.,22.0,IsomRi20,
1987,1,1,TAM,QB,Miami (FL),23.0,TestVi00,P0068
1987,1,3,HOU,RB,Miami (FL),22.0,HighAl00,
1987,1,4,GNB,RB,Auburn,23.0,FullBr00,
1987,1,6,STL,QB,Colorado St.,23.0,StouKe00,
1987,1,13,ATL,QB,Oregon,22.0,MillCh00,
1987,1,14,MIN,RB,Penn St.,21.0,DoziDJ00,
1987,1,19,KAN,RB,Temple,22.0,PalmPa00,
1987,1,20,HOU,WR,North Carolina St.,22.0,JeffHa00,
1987,1,21,NYJ,RB,Texas A&M,23.0,VickRo00,
1987,1,24,SDG,RB,Texas A&M,22.0,BernRo00,
1987,1,25,SFO,RB,Clemson,22.0,FlagTe00,
1987,1,26,CHI,QB,Michigan,23.0,HarbJi00,P0188
1987,1,27,DEN,WR,Florida,21.0,NattRi00,
1987,1,28,NYG,WR,Michigan St.,22.0,IngrMa00,
1987,2,31,ATL,RB,Clemson,23.0,FlowKe00,
1987,2,35,KAN,RB,Azusa Pacific,26.0,OkoyCh00,
1987,2,40,NOR,WR,Washington,21.0,HillLo00,
1987,2,51,TAM,RB,Mississippi St.,23.0,SmitDo00,
1987,2,54,CHI,WR,SMU,22.0,MorrRo00,
1987,2,56,MIA,WR,Syracuse,22.0,SchwSc00,
1987,3,57,TAM,WR,Nicholls St.,21.0,CarrMa00,
1987,3,62,STL,TE,San Diego St.,23.0,AwalRo00,
1987,3,64,HOU,QB,Baylor,23.0,CarlCo00,
1987,3,66,PIT,WR,Long Beach St.,21.0,LockCh00,
1987,3,71,GNB,WR,Fort Hays St.,21.0,NealFr20,
1987,3,78,BUF,RB,Benedictine,22.0,MuelJa00,
1987,3,79,NWE,RB,Michigan,22.0,PerrBo00,
1987,3,80,CLE,RB,Penn St.,22.0,ManoTi00,
1987,3,81,RAI,RB,Penn St.,23.0,SmitSt00,
1987,3,83,NYG,WR,Fresno St.,23.0,BakeSt00,
1987,4,87,TAM,TE,Hawaii,23.0,HallRo00,
1987,4,88,SDG,QB,Iowa,23.0,VlasMa00,
1987,4,95,DAL,WR,Boston Col.,22.0,MartKe00,
1987,4,98,NWE,QB,Delaware,21.0,GannRi00,P0014
1987,4,99,MIA,RB,Boston Col.,22.0,StraTr00,
1987,4,103,CIN,TE,Clemson,23.0,RiggJi20,
1987,4,106,TAM,WR,Arizona St.,23.0,HillBr00,
1987,4,110,RAI,QB,Notre Dame,22.0,BeueSt00,P0059
1987,4,112,NYG,WR,Northwestern St. (LA),22.0,TurnOd00,
1987,5,114,IND,WR,Eastern Illinois,21.0,BankRo21,
1987,5,117,WAS,RB,Texas Tech,23.0,SmitTi00,
1987,5,118,STL,RB,Miami (OH),23.0,SwarGe20,
1987,5,119,SEA,RB,Auburn,23.0,AgeeTo00,
1987,5,124,DAL,WR,Texas,22.0,GayxEv00,
1987,5,128,KAN,WR,Washington St.,23.0,TaylKi00,
1987,5,130,CIN,RB,Kentucky,22.0,LogaMa00,
1987,5,133,HOU,RB,Oklahoma,23.0,TillSp00,
1987,6,143,TAM,RB,Colorado St.,23.0,BartSt01,
1987,6,152,NOR,WR,Stanford,22.0,HenlTh20,
1987,6,156,MIN,WR,Alabama,22.0,RichGr21,
1987,6,161,NYJ,WR,North Dakota,22.0,MartTr20,
1987,6,163,NWE,WR,Fresno St.,24.0,TaylGe20,
1987,6,166,RAM,TE,Colorado,21.0,EmbrJo21,
1987,6,167,DEN,RB,James Madison,23.0,MarsWa20,
1987,7,170,IND,WR,BYU,23.0,BellMa00,
1987,7,171,BUF,RB,Washington St.,22.0,PortKe20,
1987,7,173,SDG,WR,Ohio St.,23.0,HollJa00,
1987,7,178,PIT,TE,Akron,22.0,KellCh20,
1987,7,180,DAL,QB,Fresno St.,23.0,SweeKe00,
1987,7,182,MIA,RB,Pittsburgh,22.0,BrowTo00,
1987,7,185,SEA,TE,UCLA,23.0,TennDe00,
1987,7,186,KAN,QB,Nicholls St.,22.0,HudsDo20,
1987,7,194,DEN,TE,Georgia,22.0,StroWi21,
1987,7,195,STL,TE,Bishop,22.0,HarrWi00,
1987,8,196,NYJ,RB,Virginia Tech,22.0,HuntEd20,
1987,8,210,MIA,TE,Notre Dame,22.0,WillJo25,
1987,8,211,MIN,RB,Washington,22.0,FennRi00,
1987,8,216,SEA,QB,Texas-El Paso,22.0,GarzSa20,
1987,8,218,KAN,RB,William & Mary,22.0,ClemMi20,
1987,8,223,NYG,TE,Washington,23.0,JoneRo00,
1987,9,227,BUF,TE,Jacksonville St.,23.0,McKeKe01,
1987,9,230,DET,RB,Cal State-Fullerton,24.0,CalhRi20,
1987,9,233,PIT,WR,Tennessee,23.0,ClinJo20,
1987,9,235,DAL,RB,Maryland,22.0,BlouAl20,
1987,9,238,RAI,TE,Eastern New Mexico,24.0,EcclSc20,
1987,9,249,CHI,RB,BYU,22.0,HeimLa20,
1987,9,251,NYG,RB,Findlay,24.0,WrigDa20,
1987,10,255,GNB,QB,Virginia,23.0,MajkDo00,
1987,10,258,HOU,WR,Northwestern,22.0,DuncCu00,
1987,10,259,DET,WR,South Carolina,22.0,BrowRa23,
