method,target,tier,overlap
A_carry_forward,2014,25,36.0
A_carry_forward,2014,50,58.0
A_carry_forward,2014,100,63.0
A_carry_forward,2014,150,64.66666666666667
A_carry_forward,2014,200,63.5
A_carry_forward,2014,250,63.6
A_carry_forward,2015,25,32.0
A_carry_forward,2015,50,48.0
A_carry_forward,2015,100,55.0
A_carry_forward,2015,150,62.666666666666664
A_carry_forward,2015,200,67.0
A_carry_forward,2015,250,66.4
A_carry_forward,2016,25,48.0
A_carry_forward,2016,50,56.0
A_carry_forward,2016,100,59.0
A_carry_forward,2016,150,63.333333333333336
A_carry_forward,2016,200,65.0
A_carry_forward,2016,250,66.4
A_carry_forward,2017,25,32.0
A_carry_forward,2017,50,62.0
A_carry_forward,2017,100,62.0
A_carry_forward,2017,150,64.0
A_carry_forward,2017,200,64.5
A_carry_forward,2017,250,66.8
A_carry_forward,2018,25,40.0
A_carry_forward,2018,50,50.0
A_carry_forward,2018,100,54.0
A_carry_forward,2018,150,60.0
A_carry_forward,2018,200,64.5
A_carry_forward,2018,250,65.2
A_carry_forward,2019,25,44.0
A_carry_forward,2019,50,46.0
A_carry_forward,2019,100,64.0
A_carry_forward,2019,150,68.0
A_carry_forward,2019,200,69.5
A_carry_forward,2019,250,68.0
A_carry_forward,2020,25,48.0
A_carry_forward,2020,50,52.0
A_carry_forward,2020,100,62.0
A_carry_forward,2020,150,64.66666666666667
A_carry_forward,2020,200,67.5
A_carry_forward,2020,250,70.8
A_carry_forward,2021,25,48.0
A_carry_forward,2021,50,50.0
A_carry_forward,2021,100,62.0
A_carry_forward,2021,150,64.66666666666667
A_carry_forward,2021,200,67.0
A_carry_forward,2021,250,68.0
A_carry_forward,2022,25,48.0
A_carry_forward,2022,50,54.0
A_carry_forward,2022,100,68.0
A_carry_forward,2022,150,66.66666666666667
A_carry_forward,2022,200,70.5
A_carry_forward,2022,250,69.2
A_carry_forward,2023,25,36.0
A_carry_forward,2023,50,44.0
A_carry_forward,2023,100,60.0
A_carry_forward,2023,150,65.33333333333333
A_carry_forward,2023,200,69.0
A_carry_forward,2023,250,68.8
A_carry_forward,2024,25,28.0
A_carry_forward,2024,50,42.0
