target,method,tier,overlap
2001,A_carry_forward,25,52.0
2001,A_carry_forward,50,52.0
2001,A_carry_forward,100,60.0
2001,A_carry_forward,150,66.0
2001,A_carry_forward,200,66.0
2001,A_carry_forward,250,66.0
2001,B_ppg,25,48.0
2001,B_ppg,50,54.0
2001,B_ppg,100,60.0
2001,B_ppg,150,65.33333333333333
2001,B_ppg,200,67.5
2001,B_ppg,250,66.0
2001,C_ppg_x_games,25,52.0
2001,C_ppg_x_games,50,52.0
2001,C_ppg_x_games,100,60.0
2001,C_ppg_x_games,150,66.0
2001,C_ppg_x_games,200,66.0
2001,C_ppg_x_games,250,66.0
2002,A_carry_forward,25,48.0
2002,A_carry_forward,50,62.0
2002,A_carry_forward,100,63.0
2002,A_carry_forward,150,63.33333333333333
2002,A_carry_forward,200,70.0
2002,A_carry_forward,250,66.8
2002,B_ppg,25,52.0
2002,B_ppg,50,62.0
2002,B_ppg,100,63.0
2002,B_ppg,150,62.66666666666667
2002,B_ppg,200,67.5
2002,B_ppg,250,66.8
2002,C_ppg_x_games,25,48.0
2002,C_ppg_x_games,50,60.0
2002,C_ppg_x_games,100,63.0
2002,C_ppg_x_games,150,64.0
2002,C_ppg_x_games,200,69.5
2002,C_ppg_x_games,250,66.8
2003,A_carry_forward,25,52.0
2003,A_carry_forward,50,57.99999999999999
2003,A_carry_forward,100,67.0
2003,A_carry_forward,150,75.33333333333333
2003,A_carry_forward,200,73.0
2003,A_carry_forward,250,73.2
2003,B_ppg,25,52.0
2003,B_ppg,50,64.0
2003,B_ppg,100,68.0
2003,B_ppg,150,72.66666666666667
2003,B_ppg,200,72.0
2003,B_ppg,250,73.2
2003,C_ppg_x_games,25,48.0
2003,C_ppg_x_games,50,56.00000000000001
2003,C_ppg_x_games,100,66.0
2003,C_ppg_x_games,150,74.66666666666667
2003,C_ppg_x_games,200,72.5
2003,C_ppg_x_games,250,73.2
2004,A_carry_forward,25,36.0
2004,A_carry_forward,50,52.0
2004,A_carry_forward,100,56.00000000000001
2004,A_carry_forward,150,63.33333333333333
2004,A_carry_forward,200,68.0
2004,A_carry_forward,250,70.39999999999999
2004,B_ppg,25,40.0
2004,B_ppg,50,52.0
2004,B_ppg,100,60.0
2004,B_ppg,150,63.33333333333333
2004,B_ppg,200,68.5
2004,B_ppg,250,70.39999999999999
2004,C_ppg_x_games,25,36.0
2004,C_ppg_x_games,50,54.0
2004,C_ppg_x_games,100,59.0
2004,C_ppg_x_games,150,62.66666666666667
2004,C_ppg_x_games,200,70.0
2004,C_ppg_x_games,250,70.39999999999999
2005,A_carry_forward,25,40.0
2005,A_carry_forward,50,50.0
2005,A_carry_forward,100,68.0
2005,A_carry_forward,150,69.33333333333334
2005,A_carry_forward,200,67.5
2005,A_carry_forward,250,70.0
2005,B_ppg,25,40.0
2005,B_ppg,50,48.0
2005,B_ppg,100,67.0
2005,B_ppg,150,70.66666666666667
2005,B_ppg,200,69.0
2005,B_ppg,250,70.0
2005,C_ppg_x_games,25,36.0
2005,C_ppg_x_games,50,52.0
2005,C_ppg_x_games,100,69.0
2005,C_ppg_x_games,150,70.66666666666667
2005,C_ppg_x_games,200,69.5
2005,C_ppg_x_games,250,70.0
2006,A_carry_forward,25,40.0
2006,A_carry_forward,50,52.0
2006,A_carry_forward,100,61.0
2006,A_carry_forward,150,65.33333333333333
2006,A_carry_forward,200,64.5
2006,A_carry_forward,250,68.0
2006,B_ppg,25,40.0
2006,B_ppg,50,57.99999999999999
2006,B_ppg,100,61.0
2006,B_ppg,150,64.66666666666666
2006,B_ppg,200,65.0
2006,B_ppg,250,68.0
2006,C_ppg_x_games,25,44.0
2006,C_ppg_x_games,50,52.0
2006,C_ppg_x_games,100,64.0
2006,C_ppg_x_games,150,66.0
2006,C_ppg_x_games,200,66.5
2006,C_ppg_x_games,250,68.0
2007,A_carry_forward,25,36.0
2007,A_carry_forward,50,46.0
2007,A_carry_forward,100,61.0
2007,A_carry_forward,150,64.66666666666666
2007,A_carry_forward,200,67.0
2007,A_carry_forward,250,68.0
2007,B_ppg,25,40.0
2007,B_ppg,50,46.0
2007,B_ppg,100,61.0
2007,B_ppg,150,65.33333333333333
2007,B_ppg,200,68.0
2007,B_ppg,250,68.0
2007,C_ppg_x_games,25,36.0
2007,C_ppg_x_games,50,50.0
2007,C_ppg_x_games,100,62.0
2007,C_ppg_x_games,150,64.66666666666666
2007,C_ppg_x_games,200,67.5
2007,C_ppg_x_games,250,68.0
2008,A_carry_forward,25,28.000000000000004
2008,A_carry_forward,50,50.0
2008,A_carry_forward,100,65.0
2008,A_carry_forward,150,61.33333333333333
2008,A_carry_forward,200,64.5
2008,A_carry_forward,250,67.60000000000001
2008,B_ppg,25,32.0
2008,B_ppg,50,52.0
2008,B_ppg,100,64.0
2008,B_ppg,150,60.0
2008,B_ppg,200,63.5
2008,B_ppg,250,67.60000000000001
2008,C_ppg_x_games,25,32.0
2008,C_ppg_x_games,50,52.0
2008,C_ppg_x_games,100,63.0
2008,C_ppg_x_games,150,61.33333333333333
2008,C_ppg_x_games,200,64.5
2008,C_ppg_x_games,250,67.60000000000001
2009,A_carry_forward,25,40.0
2009,A_carry_forward,50,50.0
2009,A_carry_forward,100,62.0
2009,A_carry_forward,150,65.33333333333333
2009,A_carry_forward,200,68.0
2009,A_carry_forward,250,70.39999999999999
2009,B_ppg,25,40.0
2009,B_ppg,50,50.0
2009,B_ppg,100,62.0
2009,B_ppg,150,63.33333333333333
2009,B_ppg,200,68.0
2009,B_ppg,250,70.39999999999999
2009,C_ppg_x_games,25,48.0
2009,C_ppg_x_games,50,48.0
2009,C_ppg_x_games,100,64.0
2009,C_ppg_x_games,150,64.66666666666666
2009,C_ppg_x_games,200,68.0
2009,C_ppg_x_games,250,70.39999999999999
2010,A_carry_forward,25,44.0
2010,A_carry_forward,50,46.0
2010,A_carry_forward,100,63.0
2010,A_carry_forward,150,67.33333333333333
2010,A_carry_forward,200,73.0
2010,A_carry_forward,250,73.6
2010,B_ppg,25,40.0
2010,B_ppg,50,44.0
2010,B_ppg,100,61.0
2010,B_ppg,150,67.33333333333333
2010,B_ppg,200,73.5
2010,B_ppg,250,73.6
2010,C_ppg_x_games,25,44.0
2010,C_ppg_x_games,50,46.0
2010,C_ppg_x_games,100,63.0
2010,C_ppg_x_games,150,65.33333333333333
2010,C_ppg_x_games,200,73.5
2010,C_ppg_x_games,250,73.6
2011,A_carry_forward,25,40.0
2011,A_carry_forward,50,52.0
2011,A_carry_forward,100,57.99999999999999
2011,A_carry_forward,150,60.66666666666667
2011,A_carry_forward,200,67.0
2011,A_carry_forward,250,72.39999999999999
2011,B_ppg,25,32.0
2011,B_ppg,50,52.0
2011,B_ppg,100,60.0
2011,B_ppg,150,62.0
2011,B_ppg,200,68.5
2011,B_ppg,250,72.39999999999999
2011,C_ppg_x_games,25,40.0
2011,C_ppg_x_games,50,50.0
2011,C_ppg_x_games,100,60.0
2011,C_ppg_x_games,150,60.0
2011,C_ppg_x_games,200,68.0
2011,C_ppg_x_games,250,72.39999999999999
2012,A_carry_forward,25,52.0
2012,A_carry_forward,50,46.0
2012,A_carry_forward,100,61.0
2012,A_carry_forward,150,67.33333333333333
2012,A_carry_forward,200,66.5
2012,A_carry_forward,250,66.4
2012,B_ppg,25,44.0
2012,B_ppg,50,48.0
2012,B_ppg,100,62.0
2012,B_ppg,150,66.0
2012,B_ppg,200,66.0
2012,B_ppg,250,66.4
2012,C_ppg_x_games,25,48.0
2012,C_ppg_x_games,50,44.0
2012,C_ppg_x_games,100,61.0
2012,C_ppg_x_games,150,65.33333333333333
2012,C_ppg_x_games,200,66.0
2012,C_ppg_x_games,250,66.4
2013,A_carry_forward,25,56.00000000000001
2013,A_carry_forward,50,50.0
2013,A_carry_forward,100,59.0
2013,A_carry_forward,150,62.66666666666667
2013,A_carry_forward,200,67.5
2013,A_carry_forward,250,70.39999999999999
2013,B_ppg,25,48.0
2013,B_ppg,50,54.0
2013,B_ppg,100,60.0
2013,B_ppg,150,64.66666666666666
2013,B_ppg,200,67.5
2013,B_ppg,250,70.39999999999999
2013,C_ppg_x_games,25,44.0
2013,C_ppg_x_games,50,52.0
2013,C_ppg_x_games,100,61.0
2013,C_ppg_x_games,150,64.0
2013,C_ppg_x_games,200,67.5
2013,C_ppg_x_games,250,70.39999999999999
2014,A_carry_forward,25,36.0
2014,A_carry_forward,50,57.99999999999999
2014,A_carry_forward,100,63.0
2014,A_carry_forward,150,64.66666666666666
2014,A_carry_forward,200,63.5
2014,A_carry_forward,250,63.6
2014,B_ppg,25,44.0
2014,B_ppg,50,64.0
2014,B_ppg,100,59.0
2014,B_ppg,150,61.33333333333333
2014,B_ppg,200,62.0
2014,B_ppg,250,63.6
2014,C_ppg_x_games,25,48.0
2014,C_ppg_x_games,50,60.0
2014,C_ppg_x_games,100,63.0
2014,C_ppg_x_games,150,65.33333333333333
2014,C_ppg_x_games,200,63.0
2014,C_ppg_x_games,250,63.6
2015,A_carry_forward,25,32.0
2015,A_carry_forward,50,48.0
2015,A_carry_forward,100,55.00000000000001
2015,A_carry_forward,150,62.66666666666667
2015,A_carry_forward,200,67.0
2015,A_carry_forward,250,66.4
2015,B_ppg,25,28.000000000000004
2015,B_ppg,50,44.0
2015,B_ppg,100,55.00000000000001
2015,B_ppg,150,61.33333333333333
2015,B_ppg,200,66.5
2015,B_ppg,250,66.4
2015,C_ppg_x_games,25,32.0
2015,C_ppg_x_games,50,48.0
2015,C_ppg_x_games,100,56.99999999999999
2015,C_ppg_x_games,150,61.33333333333333
2015,C_ppg_x_games,200,67.0
2015,C_ppg_x_games,250,66.4
2016,A_carry_forward,25,48.0
2016,A_carry_forward,50,56.00000000000001
2016,A_carry_forward,100,59.0
2016,A_carry_forward,150,63.33333333333333
2016,A_carry_forward,200,65.0
2016,A_carry_forward,250,66.4
2016,B_ppg,25,52.0
2016,B_ppg,50,60.0
2016,B_ppg,100,60.0
2016,B_ppg,150,62.0
2016,B_ppg,200,63.5
2016,B_ppg,250,66.4
2016,C_ppg_x_games,25,48.0
2016,C_ppg_x_games,50,56.00000000000001
2016,C_ppg_x_games,100,61.0
2016,C_ppg_x_games,150,62.0
2016,C_ppg_x_games,200,65.0
2016,C_ppg_x_games,250,66.4
2017,A_carry_forward,25,32.0
2017,A_carry_forward,50,62.0
2017,A_carry_forward,100,62.0
2017,A_carry_forward,150,64.0
2017,A_carry_forward,200,64.5
2017,A_carry_forward,250,66.8
2017,B_ppg,25,40.0
2017,B_ppg,50,57.99999999999999
2017,B_ppg,100,65.0
2017,B_ppg,150,63.33333333333333
2017,B_ppg,200,64.0
2017,B_ppg,250,66.8
2017,C_ppg_x_games,25,44.0
2017,C_ppg_x_games,50,57.99999999999999
2017,C_ppg_x_games,100,63.0
2017,C_ppg_x_games,150,65.33333333333333
2017,C_ppg_x_games,200,64.5
2017,C_ppg_x_games,250,66.8
2018,A_carry_forward,25,40.0
2018,A_carry_forward,50,50.0
2018,A_carry_forward,100,54.0
2018,A_carry_forward,150,60.0
2018,A_carry_forward,200,64.5
2018,A_carry_forward,250,65.2
2018,B_ppg,25,40.0
2018,B_ppg,50,57.99999999999999
2018,B_ppg,100,57.99999999999999
2018,B_ppg,150,60.66666666666667
2018,B_ppg,200,65.0
2018,B_ppg,250,65.2
2018,C_ppg_x_games,25,56.00000000000001
2018,C_ppg_x_games,50,57.99999999999999
2018,C_ppg_x_games,100,56.00000000000001
2018,C_ppg_x_games,150,60.66666666666667
2018,C_ppg_x_games,200,65.0
2018,C_ppg_x_games,250,65.2
2019,A_carry_forward,25,44.0
2019,A_carry_forward,50,46.0
2019,A_carry_forward,100,64.0
2019,A_carry_forward,150,68.0
2019,A_carry_forward,200,69.5
2019,A_carry_forward,250,68.0
2019,B_ppg,25,36.0
2019,B_ppg,50,56.00000000000001
2019,B_ppg,100,65.0
2019,B_ppg,150,66.66666666666666
2019,B_ppg,200,68.0
2019,B_ppg,250,68.0
2019,C_ppg_x_games,25,36.0
2019,C_ppg_x_games,50,48.0
2019,C_ppg_x_games,100,64.0
2019,C_ppg_x_games,150,69.33333333333334
2019,C_ppg_x_games,200,69.5
2019,C_ppg_x_games,250,68.0
2020,A_carry_forward,25,48.0
2020,A_carry_forward,50,52.0
2020,A_carry_forward,100,62.0
2020,A_carry_forward,150,64.66666666666666
2020,A_carry_forward,200,67.5
2020,A_carry_forward,250,70.8
2020,B_ppg,25,44.0
2020,B_ppg,50,50.0
2020,B_ppg,100,59.0
2020,B_ppg,150,64.0
2020,B_ppg,200,66.0
2020,B_ppg,250,70.8
2020,C_ppg_x_games,25,44.0
2020,C_ppg_x_games,50,54.0
2020,C_ppg_x_games,100,59.0
2020,C_ppg_x_games,150,64.66666666666666
2020,C_ppg_x_games,200,67.0
2020,C_ppg_x_games,250,70.8
2021,A_carry_forward,25,48.0
2021,A_carry_forward,50,50.0
2021,A_carry_forward,100,61.0
2021,A_carry_forward,150,64.66666666666666
2021,A_carry_forward,200,67.0
2021,A_carry_forward,250,68.0
2021,B_ppg,25,48.0
2021,B_ppg,50,56.00000000000001
2021,B_ppg,100,63.0
2021,B_ppg,150,63.33333333333333
2021,B_ppg,200,67.0
2021,B_ppg,250,68.0
2021,C_ppg_x_games,25,52.0
2021,C_ppg_x_games,50,57.99999999999999
2021,C_ppg_x_games,100,62.0
2021,C_ppg_x_games,150,64.0
2021,C_ppg_x_games,200,68.0
2021,C_ppg_x_games,250,68.0
2022,A_carry_forward,25,48.0
2022,A_carry_forward,50,54.0
2022,A_carry_forward,100,68.0
2022,A_carry_forward,150,66.66666666666666
2022,A_carry_forward,200,70.5
2022,A_carry_forward,250,69.19999999999999
2022,B_ppg,25,48.0
2022,B_ppg,50,60.0
2022,B_ppg,100,64.0
2022,B_ppg,150,68.0
2022,B_ppg,200,68.5
2022,B_ppg,250,69.19999999999999
2022,C_ppg_x_games,25,44.0
2022,C_ppg_x_games,50,60.0
2022,C_ppg_x_games,100,65.0
2022,C_ppg_x_games,150,66.66666666666666
2022,C_ppg_x_games,200,69.0
2022,C_ppg_x_games,250,69.19999999999999
2023,A_carry_forward,25,36.0
2023,A_carry_forward,50,44.0
2023,A_carry_forward,100,60.0
2023,A_carry_forward,150,64.66666666666666
2023,A_carry_forward,200,69.0
2023,A_carry_forward,250,68.8
2023,B_ppg,25,40.0
2023,B_ppg,50,50.0
2023,B_ppg,100,57.99999999999999
2023,B_ppg,150,65.33333333333333
2023,B_ppg,200,65.5
2023,B_ppg,250,68.8
2023,C_ppg_x_games,25,44.0
2023,C_ppg_x_games,50,48.0
2023,C_ppg_x_games,100,59.0
2023,C_ppg_x_games,150,64.66666666666666
2023,C_ppg_x_games,200,67.5
2023,C_ppg_x_games,250,68.8
2024,A_carry_forward,25,28.000000000000004
2024,A_carry_forward,50,42.0
2024,A_carry_forward,100,60.0
2024,A_carry_forward,150,66.66666666666666
2024,A_carry_forward,200,70.0
2024,A_carry_forward,250,71.2
2024,B_ppg,25,36.0
2024,B_ppg,50,48.0
2024,B_ppg,100,62.0
2024,B_ppg,150,63.33333333333333
2024,B_ppg,200,69.5
2024,B_ppg,250,71.2
2024,C_ppg_x_games,25,32.0
2024,C_ppg_x_games,50,44.0
2024,C_ppg_x_games,100,63.0
2024,C_ppg_x_games,150,64.0
2024,C_ppg_x_games,200,70.5
2024,C_ppg_x_games,250,71.2
2025,A_carry_forward,25,48.0
2025,A_carry_forward,50,52.0
2025,A_carry_forward,100,63.0
2025,A_carry_forward,150,65.33333333333333
2025,A_carry_forward,200,69.0
2025,A_carry_forward,250,71.2
2025,B_ppg,25,48.0
2025,B_ppg,50,50.0
2025,B_ppg,100,63.0
2025,B_ppg,150,66.0
2025,B_ppg,200,69.0
2025,B_ppg,250,71.2
2025,C_ppg_x_games,25,52.0
2025,C_ppg_x_games,50,52.0
2025,C_ppg_x_games,100,63.0
2025,C_ppg_x_games,150,66.66666666666666
2025,C_ppg_x_games,200,69.5
2025,C_ppg_x_games,250,71.2
