method,target,tier,overlap,split
A_carry_forward,2001,25,52.0,train
A_carry_forward,2001,50,52.0,train
A_carry_forward,2001,100,60.0,train
A_carry_forward,2001,150,66.0,train
A_carry_forward,2001,200,66.0,train
A_carry_forward,2001,250,66.0,train
A_carry_forward,2002,25,48.0,train
A_carry_forward,2002,50,62.0,train
A_carry_forward,2002,100,63.0,train
A_carry_forward,2002,150,63.333333333333336,train
A_carry_forward,2002,200,70.0,train
A_carry_forward,2002,250,66.8,train
A_carry_forward,2003,25,52.0,train
A_carry_forward,2003,50,58.0,train
A_carry_forward,2003,100,67.0,train
A_carry_forward,2003,150,75.33333333333333,train
A_carry_forward,2003,200,73.0,train
A_carry_forward,2003,250,73.2,train
A_carry_forward,2004,25,36.0,train
A_carry_forward,2004,50,52.0,train
A_carry_forward,2004,100,56.0,train
A_carry_forward,2004,150,63.333333333333336,train
A_carry_forward,2004,200,68.0,train
A_carry_forward,2004,250,70.4,train
A_carry_forward,2005,25,40.0,train
A_carry_forward,2005,50,50.0,train
A_carry_forward,2005,100,68.0,train
A_carry_forward,2005,150,69.33333333333333,train
A_carry_forward,2005,200,67.5,train
A_carry_forward,2005,250,70.0,train
A_carry_forward,2006,25,40.0,train
A_carry_forward,2006,50,52.0,train
A_carry_forward,2006,100,61.0,train
A_carry_forward,2006,150,65.33333333333333,train
A_carry_forward,2006,200,64.5,train
A_carry_forward,2006,250,68.0,train
A_carry_forward,2007,25,36.0,train
A_carry_forward,2007,50,46.0,train
A_carry_forward,2007,100,61.0,train
A_carry_forward,2007,150,64.66666666666667,train
A_carry_forward,2007,200,67.0,train
A_carry_forward,2007,250,68.0,train
A_carry_forward,2008,25,28.0,train
A_carry_forward,2008,50,50.0,train
A_carry_forward,2008,100,65.0,train
A_carry_forward,2008,150,61.333333333333336,train
A_carry_forward,2008,200,64.5,train
A_carry_forward,2008,250,67.6,train
A_carry_forward,2009,25,40.0,train
A_carry_forward,2009,50,50.0,train
A_carry_forward,2009,100,62.0,train
A_carry_forward,2009,150,65.33333333333333,train
A_carry_forward,2009,200,68.0,train
A_carry_forward,2009,250,70.4,train
A_carry_forward,2010,25,44.0,train
A_carry_forward,2010,50,46.0,train
A_carry_forward,2010,100,63.0,train
A_carry_forward,2010,150,67.33333333333333,train
A_carry_forward,2010,200,73.0,train
A_carry_forward,2010,250,73.6,train
A_carry_forward,2011,25,40.0,train
A_carry_forward,2011,50,52.0,train
A_carry_forward,2011,100,58.0,train
A_carry_forward,2011,150,60.666666666666664,train
A_carry_forward,2011,200,67.0,train
A_carry_forward,2011,250,72.4,train
A_carry_forward,2012,25,52.0,train
A_carry_forward,2012,50,46.0,train
A_carry_forward,2012,100,61.0,train
A_carry_forward,2012,150,67.33333333333333,train
A_carry_forward,2012,200,66.5,train
A_carry_forward,2012,250,66.4,train
A_carry_forward,2013,25,56.0,train
A_carry_forward,2013,50,50.0,train
A_carry_forward,2013,100,59.0,train
A_carry_forward,2013,150,62.666666666666664,train
A_carry_forward,2013,200,67.5,train
A_carry_forward,2013,250,70.4,train
k=0,2001,25,48.0,train
k=0,2001,50,54.0,train
k=0,2001,100,60.0,train
k=0,2001,150,65.33333333333333,train
k=0,2001,200,67.5,train
k=0,2001,250,66.0,train
k=0,2002,25,52.0,train
k=0,2002,50,62.0,train
k=0,2002,100,63.0,train
k=0,2002,150,62.666666666666664,train
k=0,2002,200,67.5,train
k=0,2002,250,66.8,train
k=0,2003,25,52.0,train
k=0,2003,50,64.0,train
k=0,2003,100,68.0,train
k=0,2003,150,72.66666666666667,train
k=0,2003,200,72.0,train
k=0,2003,250,73.2,train
k=0,2004,25,40.0,train
k=0,2004,50,52.0,train
k=0,2004,100,60.0,train
k=0,2004,150,63.333333333333336,train
k=0,2004,200,68.5,train
k=0,2004,250,70.4,train
k=0,2005,25,40.0,train
k=0,2005,50,48.0,train
k=0,2005,100,67.0,train
k=0,2005,150,70.66666666666667,train
k=0,2005,200,68.5,train
k=0,2005,250,70.0,train
k=0,2006,25,40.0,train
k=0,2006,50,58.0,train
k=0,2006,100,61.0,train
k=0,2006,150,64.66666666666667,train
k=0,2006,200,65.0,train
k=0,2006,250,68.0,train
k=0,2007,25,40.0,train
k=0,2007,50,46.0,train
k=0,2007,100,61.0,train
k=0,2007,150,65.33333333333333,train
k=0,2007,200,68.0,train
k=0,2007,250,68.0,train
k=0,2008,25,32.0,train
k=0,2008,50,52.0,train
k=0,2008,100,64.0,train
k=0,2008,150,60.0,train
k=0,2008,200,63.5,train
k=0,2008,250,67.6,train
k=0,2009,25,40.0,train
k=0,2009,50,50.0,train
k=0,2009,100,62.0,train
k=0,2009,150,63.333333333333336,train
k=0,2009,200,68.0,train
k=0,2009,250,70.4,train
k=0,2010,25,40.0,train
k=0,2010,50,44.0,train
k=0,2010,100,61.0,train
k=0,2010,150,67.33333333333333,train
k=0,2010,200,73.0,train
k=0,2010,250,73.6,train
k=0,2011,25,32.0,train
k=0,2011,50,52.0,train
k=0,2011,100,60.0,train
k=0,2011,150,62.0,train
k=0,2011,200,68.5,train
k=0,2011,250,72.4,train
k=0,2012,25,44.0,train
k=0,2012,50,48.0,train
k=0,2012,100,62.0,train
k=0,2012,150,66.0,train
k=0,2012,200,66.0,train
k=0,2012,250,66.4,train
k=0,2013,25,48.0,train
k=0,2013,50,54.0,train
k=0,2013,100,60.0,train
k=0,2013,150,64.66666666666667,train
k=0,2013,200,67.5,train
k=0,2013,250,70.4,train
k=1,2001,25,48.0,train
k=1,2001,50,52.0,train
k=1,2001,100,62.0,train
k=1,2001,150,65.33333333333333,train
k=1,2001,200,67.5,train
k=1,2001,250,66.0,train
k=1,2002,25,56.0,train
k=1,2002,50,62.0,train
k=1,2002,100,63.0,train
k=1,2002,150,62.666666666666664,train
k=1,2002,200,67.5,train
k=1,2002,250,66.8,train
k=1,2003,25,52.0,train
k=1,2003,50,64.0,train
k=1,2003,100,67.0,train
k=1,2003,150,73.33333333333333,train
k=1,2003,200,71.5,train
k=1,2003,250,73.2,train
k=1,2004,25,40.0,train
k=1,2004,50,52.0,train
k=1,2004,100,60.0,train
k=1,2004,150,63.333333333333336,train
k=1,2004,200,68.5,train
k=1,2004,250,70.4,train
k=1,2005,25,36.0,train
k=1,2005,50,50.0,train
k=1,2005,100,67.0,train
k=1,2005,150,70.66666666666667,train
k=1,2005,200,69.5,train
k=1,2005,250,70.0,train
k=1,2006,25,40.0,train
k=1,2006,50,58.0,train
k=1,2006,100,61.0,train
k=1,2006,150,64.66666666666667,train
k=1,2006,200,65.0,train
k=1,2006,250,68.0,train
k=1,2007,25,36.0,train
k=1,2007,50,44.0,train
k=1,2007,100,60.0,train
k=1,2007,150,65.33333333333333,train
k=1,2007,200,67.5,train
k=1,2007,250,68.0,train
k=1,2008,25,32.0,train
k=1,2008,50,52.0,train
k=1,2008,100,64.0,train
k=1,2008,150,60.0,train
k=1,2008,200,63.5,train
k=1,2008,250,67.6,train
k=1,2009,25,40.0,train
k=1,2009,50,48.0,train
k=1,2009,100,62.0,train
k=1,2009,150,63.333333333333336,train
k=1,2009,200,68.0,train
k=1,2009,250,70.4,train
k=1,2010,25,40.0,train
k=1,2010,50,44.0,train
k=1,2010,100,61.0,train
k=1,2010,150,66.66666666666667,train
k=1,2010,200,73.0,train
k=1,2010,250,73.6,train
k=1,2011,25,36.0,train
k=1,2011,50,52.0,train
k=1,2011,100,60.0,train
k=1,2011,150,62.0,train
k=1,2011,200,68.5,train
k=1,2011,250,72.4,train
k=1,2012,25,48.0,train
k=1,2012,50,48.0,train
k=1,2012,100,61.0,train
k=1,2012,150,66.0,train
k=1,2012,200,65.5,train
k=1,2012,250,66.4,train
k=1,2013,25,48.0,train
k=1,2013,50,50.0,train
k=1,2013,100,62.0,train
k=1,2013,150,64.0,train
k=1,2013,200,67.5,train
k=1,2013,250,70.4,train
k=2,2001,25,48.0,train
k=2,2001,50,54.0,train
k=2,2001,100,62.0,train
k=2,2001,150,65.33333333333333,train
k=2,2001,200,67.5,train
k=2,2001,250,66.0,train
k=2,2002,25,56.0,train
k=2,2002,50,62.0,train
k=2,2002,100,63.0,train
k=2,2002,150,62.666666666666664,train
k=2,2002,200,67.5,train
k=2,2002,250,66.8,train
k=2,2003,25,52.0,train
k=2,2003,50,64.0,train
k=2,2003,100,66.0,train
k=2,2003,150,72.66666666666667,train
k=2,2003,200,72.0,train
k=2,2003,250,73.2,train
k=2,2004,25,44.0,train
k=2,2004,50,50.0,train
k=2,2004,100,59.0,train
k=2,2004,150,62.666666666666664,train
k=2,2004,200,68.5,train
k=2,2004,250,70.4,train
k=2,2005,25,36.0,train
k=2,2005,50,50.0,train
k=2,2005,100,66.0,train
k=2,2005,150,70.66666666666667,train
k=2,2005,200,69.0,train
k=2,2005,250,70.0,train
k=2,2006,25,40.0,train
k=2,2006,50,58.0,train
k=2,2006,100,60.0,train
k=2,2006,150,65.33333333333333,train
k=2,2006,200,65.5,train
k=2,2006,250,68.0,train
k=2,2007,25,36.0,train
k=2,2007,50,44.0,train
k=2,2007,100,61.0,train
k=2,2007,150,64.66666666666667,train
k=2,2007,200,67.5,train
