,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Derrick Henry,BAL,RB,32,1,1,0,0,0,0,0,24,144,6.00,3,1,1,19,19.00,0,0,0,3,,,34,35.3,38.3,34.8,24,1,1,HenrDe00
2,Kenneth Walker III,KAN,RB,26,1,1,0,0,0,0,0,23,173,7.52,1,6,3,18,6.00,1,0,0,2,,,31,34.1,37.1,32.6,21,3,2,WalkKe00
3,D'Andre Swift,CHI,RB,27,1,1,0,0,0,0,0,18,124,6.89,3,1,1,10,10.00,0,0,0,3,,,31,32.4,35.4,31.9,21,2,3,SwifDA00
4,Jahmyr Gibbs,DET,RB,24,1,1,0,0,0,0,0,29,156,5.38,2,5,5,30,6.00,0,1,1,2,,,29,33.6,37.6,31.1,19,4,4,GibbJa01
5,Christian Watson,GNB,WR,27,1,1,0,0,0,0,0,0,0,,0,8,6,147,24.50,2,0,0,2,,,27,32.7,35.7,29.7,18,1,5,WatsCh00
6,Caleb Williams,CHI,QB,25,1,1,21,29,269,2,0,10,65,6.50,2,0,0,0,,0,0,0,2,,,37,37.3,37.3,37.3,17,1,6,WillCa03
7,Ashton Jeanty,LVR,RB,23,1,1,0,0,0,0,0,23,102,4.43,0,6,6,45,7.50,2,0,0,2,,,27,32.7,35.7,29.7,17,5,7,JeanAs00
8,Jalen Coker,CAR,WR,25,1,1,0,0,0,0,0,0,0,,0,9,8,138,17.25,2,0,0,2,,,26,33.8,36.8,29.8,17,2,8,CokeJa01
9,David Montgomery,HOU,RB,29,1,1,0,0,0,0,0,20,60,3.00,2,3,3,19,6.33,1,0,0,3,,,26,28.9,28.9,27.4,16,6,9,MontDa01
10,Josh Allen,BUF,QB,30,1,1,20,29,334,2,0,6,23,3.83,2,0,0,0,,0,1,0,2,,,36,35.7,38.7,35.7,15,2,10,AlleJo02
11,Justin Jefferson,MIN,WR,27,1,1,0,0,0,0,0,0,0,,0,9,8,92,11.50,2,0,0,2,1,,23,31.2,31.2,27.2,15,3,11,JeffJu00
12,Bijan Robinson,ATL,RB,24,1,1,0,0,0,0,0,21,83,3.95,0,10,8,90,11.25,1,2,0,1,,,23,31.3,31.3,27.3,14,7,12,RobiBi01
13,Jonathan Taylor,IND,RB,27,1,1,0,0,0,0,0,19,98,5.16,2,4,3,23,7.67,0,1,1,2,,,22,25.1,26.1,23.6,13,8,13,TaylJo02
14,Zay Flowers,BAL,WR,26,1,1,0,0,0,0,0,0,0,,0,6,5,150,30.00,1,0,0,1,,,21,26.0,29.0,23.5,13,4,14,FlowZa00
15,Bryce Young,CAR,QB,25,1,1,23,37,361,3,1,2,10,5.00,1,0,0,0,,0,0,0,1,,,31,31.4,35.4,32.4,12,3,15,YounBr01
16,Chuba Hubbard,CAR,RB,27,1,1,0,0,0,0,0,10,49,4.90,1,3,3,38,12.67,1,0,0,2,,,21,23.7,23.7,22.2,11,9,16,HubbCh01
17,Isaiah Likely,NYG,TE,26,1,1,0,0,0,0,0,0,0,,0,8,8,78,9.75,2,1,0,2,,,20,27.8,27.8,23.8,11,1,17,LikeIs00
18,Dallas Goedert,PHI,TE,31,1,1,0,0,0,0,0,0,0,,0,5,4,77,19.25,2,0,0,2,,,20,23.7,23.7,21.7,11,2,18,GoedDa00
19,Amon-Ra St. Brown,DET,WR,27,1,1,0,0,0,0,0,0,0,,0,14,10,67,6.70,2,0,0,2,,,19,28.7,28.7,23.7,11,5,19,StxxAm00
20,Javonte Williams,DAL,RB,26,1,1,0,0,0,0,0,12,41,3.42,1,5,5,31,6.20,1,0,0,2,,,19,24.2,24.2,21.7,10,10,20,WillJa10
21,Chris Olave,NOR,WR,26,1,1,0,0,0,0,0,0,0,,0,13,10,182,18.20,0,0,0,0,,,18,28.2,31.2,23.2,10,6,21,OlavCh00
22,Jaxon Smith-Njigba,SEA,WR,24,1,1,0,0,0,0,0,0,0,,0,11,8,122,15.25,1,0,0,1,,,18,26.2,29.2,22.2,10,7,22,SmitJa06
23,Kyle Monangai,CHI,RB,24,1,0,0,0,0,0,0,10,100,10.00,1,2,2,24,12.00,0,0,0,1,,,18,20.4,23.4,19.4,9,11,23,MonaKy00
24,Breece Hall,NYJ,RB,25,1,1,0,0,0,0,0,22,102,4.64,1,2,2,16,8.00,0,0,0,1,,,18,19.8,22.8,18.8,8,12,24,HallBr03
25,D.J. Moore,BUF,WR,29,1,1,0,0,0,0,0,0,0,,0,8,5,100,20.00,1,0,0,1,,,16,21.0,24.0,18.5,8,8,25,MoorD.00
26,Jaxson Dart,NYG,QB,23,1,1,23,29,230,3,0,11,54,4.91,0,0,0,0,,0,1,0,0,,,27,26.6,26.6,26.6,7,4,26,DartJa00
27,Trey McBride,ARI,TE,27,1,1,0,0,0,0,0,0,0,,0,13,9,95,10.56,1,0,0,1,,,16,24.5,24.5,20.0,7,3,27,McBrTr01
28,Trevor Lawrence,JAX,QB,27,1,1,18,23,245,4,0,2,3,1.50,0,0,0,0,,0,0,0,0,,,26,26.1,26.1,26.1,6,5,28,LawrTr00
29,Parker Washington,JAX,WR,24,1,1,0,0,0,0,0,0,0,,0,6,5,83,16.60,1,0,0,1,,,14,19.3,19.3,16.8,6,9,29,WashPa01
30,Ladd McConkey,LAC,WR,25,1,1,0,0,0,0,0,0,0,,0,7,5,82,16.40,1,0,0,1,,,14,19.2,19.2,16.7,6,11,30,McCoLa00
