pid,pfr_id,season,week,pos,team,opp,ppr
P0008,OwenTe00,2000,1,WR,SF,ATL,20.2
P0008,OwenTe00,2000,2,WR,SF,CAR,16.7
P0008,OwenTe00,2000,3,WR,SF,LA,22.8
P0008,OwenTe00,2000,4,WR,SF,DAL,22.1
P0008,OwenTe00,2000,6,WR,SF,LV,42.0
P0008,OwenTe00,2000,7,WR,SF,GB,29.3
P0008,OwenTe00,2000,8,WR,SF,CAR,19.8
P0008,OwenTe00,2000,9,WR,SF,LA,31.5
P0008,OwenTe00,2000,10,WR,SF,NO,15.7
P0008,OwenTe00,2000,11,WR,SF,KC,1.6
P0008,OwenTe00,2000,14,WR,SF,LAC,13.3
P0008,OwenTe00,2000,15,WR,SF,NO,23.1
P0008,OwenTe00,2000,16,WR,SF,CHI,54.3
P0008,OwenTe00,2000,17,WR,SF,DEN,4.8
P0008,OwenTe00,2001,1,WR,SF,ATL,16.6
P0008,OwenTe00,2001,2,WR,SF,LA,10.1
P0008,OwenTe00,2001,3,WR,SF,NYJ,14.2
P0008,OwenTe00,2001,4,WR,SF,CAR,31.8
P0008,OwenTe00,2001,5,WR,SF,ATL,45.3
P0008,OwenTe00,2001,7,WR,SF,CHI,12.0
P0008,OwenTe00,2001,8,WR,SF,DET,33.5
P0008,OwenTe00,2001,9,WR,SF,NO,31.2
P0008,OwenTe00,2001,10,WR,SF,CAR,22.9
P0008,OwenTe00,2001,11,WR,SF,IND,22.3
P0008,OwenTe00,2001,12,WR,SF,BUF,19.2
P0008,OwenTe00,2001,13,WR,SF,LA,8.6
P0008,OwenTe00,2001,14,WR,SF,MIA,8.3
P0008,OwenTe00,2001,15,WR,SF,PHI,16.4
P0008,OwenTe00,2001,16,WR,SF,DAL,14.3
P0008,OwenTe00,2001,17,WR,SF,NO,25.6
P0008,OwenTe00,2002,1,WR,SF,NYG,9.1
P0008,OwenTe00,2002,2,WR,SF,DEN,14.8
P0008,OwenTe00,2002,3,WR,SF,WAS,15.1
P0008,OwenTe00,2002,5,WR,SF,LA,16.1
P0008,OwenTe00,2002,6,WR,SF,SEA,26.4
P0008,OwenTe00,2002,7,WR,SF,NO,16.3
P0008,OwenTe00,2002,8,WR,SF,ARI,33.2
P0008,OwenTe00,2002,9,WR,SF,LV,31.1
P0008,OwenTe00,2002,10,WR,SF,KC,14.4
P0008,OwenTe00,2002,11,WR,SF,LAC,36.1
P0008,OwenTe00,2002,12,WR,SF,PHI,41.6
P0008,OwenTe00,2002,13,WR,SF,SEA,9.9
P0008,OwenTe00,2002,14,WR,SF,DAL,36.3
P0008,OwenTe00,2002,15,WR,SF,GB,21.5
P0008,OwenTe00,2003,1,WR,SF,CHI,18.1
P0008,OwenTe00,2003,2,WR,SF,LA,15.2
P0008,OwenTe00,2003,3,WR,SF,CLE,17.3
P0008,OwenTe00,2003,4,WR,SF,MIN,10.5
P0008,OwenTe00,2003,5,WR,SF,DET,18.9
P0008,OwenTe00,2003,6,WR,SF,SEA,7.6
P0008,OwenTe00,2003,7,WR,SF,TB,27.2
P0008,OwenTe00,2003,8,WR,SF,ARI,11.3
P0008,OwenTe00,2003,9,WR,SF,LA,9.7
P0008,OwenTe00,2003,11,WR,SF,PIT,29.5
P0008,OwenTe00,2003,12,WR,SF,GB,15.5
P0008,OwenTe00,2003,13,WR,SF,BAL,5.3
P0008,OwenTe00,2003,14,WR,SF,ARI,28.2
P0008,OwenTe00,2003,15,WR,SF,CIN,26.7
P0008,OwenTe00,2003,16,WR,SF,PHI,3.0
P0008,OwenTe00,2004,1,WR,PHI,NYG,32.8
P0008,OwenTe00,2004,2,WR,PHI,MIN,17.6
P0008,OwenTe00,2004,3,WR,PHI,DET,22.7
P0008,OwenTe00,2004,4,WR,PHI,CHI,25.0
P0008,OwenTe00,2004,6,WR,PHI,CAR,16.3
P0008,OwenTe00,2004,7,WR,PHI,CLE,26.9
P0008,OwenTe00,2004,8,WR,PHI,BAL,24.1
P0008,OwenTe00,2004,9,WR,PHI,PIT,12.3
P0008,OwenTe00,2004,10,WR,PHI,DAL,38.0
P0008,OwenTe00,2004,11,WR,PHI,WAS,10.4
P0008,OwenTe00,2004,12,WR,PHI,NYG,10.1
P0008,OwenTe00,2004,13,WR,PHI,GB,29.3
P0008,OwenTe00,2004,14,WR,PHI,WAS,8.6
P0008,OwenTe00,2004,15,WR,PHI,DAL,4.4
P0008,OwenTe00,2005,1,WR,PHI,ATL,18.2
P0008,OwenTe00,2005,2,WR,PHI,SF,31.3
P0008,OwenTe00,2005,3,WR,PHI,LV,23.0
P0008,OwenTe00,2005,4,WR,PHI,KC,34.1
P0008,OwenTe00,2005,5,WR,PHI,DAL,10.0
P0008,OwenTe00,2005,7,WR,PHI,LAC,18.3
P0008,OwenTe00,2005,8,WR,PHI,DEN,24.6
P0008,OwenTe00,2006,1,WR,DAL,JAX,20.0
P0008,OwenTe00,2006,2,WR,DAL,WAS,4.9
P0008,OwenTe00,2006,4,WR,DAL,TEN,13.8
P0008,OwenTe00,2006,5,WR,DAL,PHI,7.5
P0008,OwenTe00,2006,6,WR,DAL,HOU,27.5
P0008,OwenTe00,2006,7,WR,DAL,NYG,21.8
P0008,OwenTe00,2006,8,WR,DAL,CAR,21.7
P0008,OwenTe00,2006,9,WR,DAL,WAS,20.6
P0008,OwenTe00,2006,10,WR,DAL,ARI,20.6
P0008,OwenTe00,2006,11,WR,DAL,IND,11.0
P0008,OwenTe00,2006,12,WR,DAL,TB,24.7
P0008,OwenTe00,2006,13,WR,DAL,NYG,16.4
P0008,OwenTe00,2006,14,WR,DAL,NO,14.6
P0008,OwenTe00,2006,15,WR,DAL,ATL,23.9
P0008,OwenTe00,2006,16,WR,DAL,PHI,10.3
P0008,OwenTe00,2006,17,WR,DAL,DET,23.7
P0008,OwenTe00,2007,1,WR,DAL,NYG,23.7
P0008,OwenTe00,2007,2,WR,DAL,MIA,21.2
P0008,OwenTe00,2007,3,WR,DAL,CHI,22.5
P0008,OwenTe00,2007,4,WR,DAL,LA,6.3
P0008,OwenTe00,2007,5,WR,DAL,BUF,4.5
P0008,OwenTe00,2007,6,WR,DAL,NE,18.6
P0008,OwenTe00,2007,7,WR,DAL,MIN,23.3
P0008,OwenTe00,2007,9,WR,DAL,PHI,33.4
P0008,OwenTe00,2007,10,WR,DAL,NYG,30.5
P0008,OwenTe00,2007,11,WR,DAL,WAS,49.3
